ID,No of employee,Annual turnover,TCTC,Basic Salary,Cash Injection,Contrib Waiver,Affected Employee
157,2,159333500,622207.22(annual)51850.60,61985750(annual)5165479(onthly),1,0,1
158,1,0,26000,26000,1,0,1
159,1,550000,7200,0,1,0,0
160,48,0,0,1800,0,0,1
161,14,1500000,6400,76800,0,0,1
162,3,180000,4500,4500,1,1,1
163,2,485000,11500,1200,1,1,1
164,8,1200000,21400,21400,1,0,1
165,10,10527887,1021427.02,67373.84,1,1,1
166,1,19402795,184350,126125,1,1,1
167,19,660000,47390,47390,1,1,1
168,1,994553.59,46110.84,37122.55,1,0,0
169,1,6600,550,550,1,1,1
170,1,40000,2300,2300,1,1,1
171,14,800000,24659,24659,0,0,1
172,2,600000,22400,22400,1,1,1
173,1,24000,10349x12=124188,900000x12=10800000,1,1,1
174,4,3749963,2084047.56,95624.73,1,1,1
175,4,500000,16.2,1800,1,1,1
176,2,541993,217229.78,93895.1,1,1,1
177,3,200000,0,60000,1,0,1
178,2,n\a,25800,21000,0,1,1
179,1,1709550,46918,32718,0,1,1
180,20,250000,80000,40000,1,0,0
181,1,450000,0,8500,1,1,1
182,4,191880,16062.2,15990,1,1,1
183,2,1.600000.00,32253.00eronth709566.00eryear,32253,1,1,1
184,1,180000,48000,2000x2,0,0,1
185,31,100000,5000,5000,0,1,1
186,9,0,0,0,0,0,1
187,11,10200,10200,850,1,1,1
188,7,<20000.00,500,500,1,1,1
189,11,105600,0,9800,1,1,1
190,1,410000,17639.68,17320,1,1,0
191,1,42000,7240,7240,1,1,1
192,2,/A,/A,/A,0,1,0
193,1,300000,6500,6500,1,0,1
194,16,650000,9825,8200,1,1,1
195,2,120000,24000,24000,0,0,1
196,3,7689.17,10000,80000,1,1,1
197,3,720000,15400,15400,0,0,1
198,3,42255,896.4,5000,0,0,1
199,1,3600,3600,3600,1,1,1
200,1,100000,4200,4200,1,0,1
201,22,324,1500,1500,1,1,1
202,3,94161.6,7846.84,7846.84,1,1,1
203,20,500000,192400,192400,1,1,1
204,14,2299562,29300,29300,1,0,1
205,1,22700,6210,6210,1,1,1
206,11,6200000,0,500000,1,1,1
207,1,-3150000,356667.44,344368.1,1,1,0
208,1,0,3857.76,321.48,0,1,1
209,3,800000,132000,78000,0,1,1
210,2,0,0,0,0,0,1
211,6,9600,/A,800,1,1,1
212,3,otalicable,104733,104733,1,0,1
213,1,0,0,0,1,1,1
214,1,200000,13000,13000,1,1,1
215,33,17784193,98900,122372.04,1,1,0
216,4,19illion(2019),261209.98,242071,0,0,0
217,4,1968050,27274,27273.65,0,0,1
218,1,68562.69,1500,4750,0,0,1
219,10,9000000,192,1800,1,1,1
220,4,42000,20000,3500,1,0,0
221,2,1200,1000,1000,1,1,1
222,2,15000000,70026.6,69546,1,1,0
223,73,410400,0,34200,1,1,1
224,1,150000,70000,34000,1,0,1
225,3,0,0,0,1,1,1
226,6,500000,22000.OO,7000,0,0,1
227,1,381521.73,136800,11400,1,0,1
228,4,30000,36000,1500,1,0,0
229,9,5000000,106717,106717,1,1,1
