ID,No of employee,Annual turnover,TCTC,Basic Salary,Cash Injection,Contrib Waiver,Affected Employee
685,14,30000000,0,216000,0,1,1
686,2,0,0,0,0,0,1
687,2,10000000,0,99906.02,1,1,1
688,1,58000000,80028.9,80028.9,1,1,1
689,10,2900000,0,12350,1,1,1
690,74,25000,24216,2000,1,1,1
691,11,2500000,30685,30685,1,0,1
692,14,2032921,41900,41900,0,0,1
693,1,1614930.24,156276.15,134577.52,1,1,1
694,5,11276296,108252.62,107600,1,0,0
695,1,47028,134.32,3919,0,0,1
696,27,18000,280.8,15000,0,1,1
697,4,50000.00-100000.00,11100,11100,1,1,1
698,1,44808,403.2,3734,0,0,1
699,7,0,10200,10200,1,1,1
700,2,0,8200,8200,1,1,1
701,2,0,3300.00eronth,3300.00eronth,0,1,1
702,19,7150000,16077.5,13277.5,0,1,1
703,9,10798141,2310726,1608933.48,1,1,1
704,4,700000,5300,5300,0,1,1
705,4,0,0,12064,1,0,1
706,1,4109785,89801,89801,0,1,1
707,39,1098185,109356.14,9510,1,1,1
708,2,300000,60000,60000,1,1,1
709,8,7000000,110611.96,110611.96,1,1,1
710,11,4635589.67,458391.32,453354.5,0,0,1
711,1,840000,177508,144209,1,1,1
712,4,50400,50400,4200,0,1,1
713,3,28illion,0,32000,1,1,1
714,1,5000000,1260000,987000,0,1,1
715,1,177000000,831347.4,668777.8,1,1,1
716,2,14743649,358657.02,207018,1,1,1
717,6,otalicable,234098,234098,1,0,1
718,3,1000000,0,24000,1,1,1
719,3,7000000,143859.12,115869,0,1,1
720,10,13840528.12,0,19433.4,1,0,1
721,1,73344,0,6112,0,0,1
722,7,10261717,0,980326,1,1,1
723,10,6171868,290403,290403,1,1,1
724,1,305159.58,14248,14248,1,1,1
725,1,0,224088.29,193113.49,1,1,1
726,1,0,0,161550,1,1,1
727,5,6000000,255008.28,255008.28,1,0,0
728,22,43080,0,3590,1,1,1
729,7,0,1800,1800,0,0,1
730,1,4398049,876360,804000,1,1,0
731,2,977000,27600,27600,1,1,1
732,1,0,9000,12000,1,1,1
733,1,3000000,190000,190000,1,0,1
734,1,0,5000,0,1,1,1
735,50,277200,23100,23100,1,1,1
736,3,2.8illion,535620,44635,1,1,1
737,8,12000000,129409,1552908,0,0,1
738,1,3500000,0,33616,1,0,1
739,3,0,0,2100,0,0,1
740,13,0,44833,0,0,1,1
741,1,70536883,4744396,2535950,1,0,1
742,6,3200000,153036.48,143180.48,1,1,1
743,10,5.5MIL,0,108775.56,1,1,1
744,2,1500000,153400,116936,1,1,1
745,2,1693376,438742.74,35469,1,0,1
746,1,3400000,62213.9,45850,1,1,1
747,24,200000,0,9650,1,1,1
748,10,180000,35000,2400,0,0,0
749,3,180000,36000,36000,1,1,1
750,4,51571884,1675986.27,420599.75,0,1,1
751,1,60,100000,3000,1,1,1
752,1,100000,15000,15000,1,1,1
753,2,54000,6000,3500,0,0,1
754,4,60,90000,1500,1,1,1
755,14,30000000,109651.62,88236.53,0,0,1
756,11,0,0,2500,1,1,1
757,1,0,0,0,1,1,1
758,2,18'000.00,18'000.00,1'500.00,1,1,1
759,10,83238.93,3027,3000,1,1,1
760,7,3600,300,300,1,1,1
761,4,1520800,32000,20800,1,1,1
762,1,25000,10200,10200,1,1,1
763,19,1332779,6840,5440,1,1,1
764,1,0,0,63100,1,1,1
765,1,6691000,184703.82,0,1,1,0
766,1,40000,4000,4000,1,1,1
767,6,600000,23800,285600,1,1,1
768,8,0,419900,419900,1,1,1
769,2,234240,0,19520,1,1,1
770,4,11694495.3,2377290.25,128268.98,1,0,0
771,1,50000,204000,300000,1,1,1
772,3,49000,n/a,1000,1,1,1
773,8,3847629,0,64310,1,1,1
774,1,2500000,74312.5,74312.5,1,1,1
775,3,950000,40350,40350,1,1,1
776,5,39000,19454,300,1,0,1
777,3,42000,18543,300,0,0,0
778,1,360000,57464.9,2600,1,1,1
779,2,-758040,155976.82,141904.16,1,0,0
780,3,3000000,51200,24800,1,0,1
781,6,19105229,524959.93,432246,1,1,1
782,23,13178989.24,378587.51,245858.95,1,1,0
783,10,18990875,285144.73,201398.65,1,0,0
784,40,135000000,0,0,1,1,1
785,1,-166120,200000,152000,1,1,1
786,5,9810935,0,205025,0,1,1
787,3,2836723,174070.00onthly,146170.00onthly,1,1,1
788,6,/A,0,102301.3564,1,1,1
789,1,8000000,715882,578000,1,1,1
790,7,5000000,111308.14,111308.14,0,1,1
791,18,17674412,137920,117853,1,0,0
792,2,9000000,162922.99,143629.39,1,1,1
793,1,225000,18750,13750,1,0,0
794,1,7500000,306081,306081,1,1,1
795,2,360000,2600,2500,0,0,1
796,1,2239035,33500,18300,1,1,1
797,5,3732000,2452548,2452548,1,1,1
798,1,0,872208,872208,1,1,1
799,2,10890229.33,78311.54,77987.54,1,0,0
800,1,31163268,72735.54,71404.7,1,0,0
801,438,100000,1900,1900,1,1,1
802,43,1000000,41150,32940,1,1,1
803,34,750000,30000,30000,1,1,1
804,14,36000,1022.4,3000,0,0,0
805,6,336000,52800,52800,1,1,1
806,1,2500000,70000.00erMonth,61000.00eronth,1,0,1
807,4,1500000,50504.12,46800,1,1,1
808,1,7000,324,3000,1,1,1
809,2,5000,20000,1000,0,1,1
810,1,1100000,4620,18620,1,1,0
811,1,1000,1000,1000,1,1,1
812,1,2000000,25240,25240,1,0,1
813,34,1200000,0,attachedtoalication,0,0,1
814,50,3261330,17309.22,17309.22,0,1,1
815,17,1422258,62415,16150,1,1,1
816,2,/A,57780,4815,1,0,1
817,5,3546662.48,62197.22,59135,1,1,1
818,3,23415711,289030,216077.95,1,1,1
819,4,5994890,1981508.02,1634223.36,1,1,1
820,4,7609405,143755.28,143755.28,1,1,1
821,1,1061441,1700,32296,1,1,1
822,2,14643865,114916,84950,1,1,1
823,175,20000000,250000,2938563,1,1,1
824,3,125000,10000,6150,1,1,1
825,3,71213026,763347.93,578507,1,1,1
826,1,13000000,869965.42,841759.39,0,0,1
827,3,175200,414096.6,14600,0,0,1
828,2,840000,0,0,0,0,1
829,3,2557110.88,1176197.38,751870.56,1,0,1
830,10,5484284.37,72119,72119,1,1,1
831,59,900000,23000,23000,1,1,0
832,1,-396847100,42500,36587,0,0,1
833,1,-3000000,75485.00/onth905820.00/year,75485,1,1,1
834,1,1868386.91,358666.31,318480,1,1,1
835,5,1841448,684754,573480,0,0,1
836,13,37478862,424059.42,424059.42,1,1,0
837,8,12000,756,7000,1,1,1
838,1,6000000,100000,629917.1,1,1,1
839,1,2237537,164256,49700,0,1,1
840,8,7222957,207290.93,139898.7,1,1,1
841,3,7000000,3328,63896.75,1,1,0
842,3,4992665.55,100196.09,63844,1,0,0
843,3,16448367.53,327594.58,315000,1,1,1
844,62,63Mil,13800,13800,1,1,1
845,5,1.2Million,46600,46600,1,1,0
846,19,2292411,12700,12700,1,1,1
847,6,loss(652448),58660.8,47296.47,1,1,1
848,4,743556.6769,0,70858,1,1,1
849,6,45000000,298720,298720,1,1,1
850,4,11163000,0,310000,0,1,0
851,52,1000000,51112.51,46000,0,1,1
852,1,180000,13975,13975,1,1,1
853,14,2980897,0,58150,1,1,1
854,2,116000000,2249628.73,1304676.51,1,1,1
855,5,JA-APR2020-474477,64971,44822,1,0,1
856,16,597394.9,9300,9300,1,1,1
857,4,3600000,492480,41039.63,0,1,1
858,1,0,726676.33,0,1,1,1
859,1,56250,5500,2500,1,0,1
860,1,50000,354000,29500,1,1,1
861,5,200000,0,30000,1,1,1
862,3,124.8,800,800,0,0,1
863,1,5600000,216485.55,145977,1,1,1
864,49,2380,82780,55200,1,1,1
865,3,1080000,83700,81500,1,0,1
866,11,0,12000,12000,1,1,1
867,2,0,12000,12000,0,1,1
868,19,202219,65800,65800,1,1,1
869,4,12000,1000,12000,1,1,1
870,1,28800,28800,1864.3,0,0,1
871,1,16050425,317584.82,810390,0,1,0
872,1,0,0,0,1,1,1
873,1,852909,352918.3,12980,1,0,1
874,1,0,0,0,1,1,1
875,1,87000000,2582257.34,2197126.43,1,1,1
876,30,139213813,2604611.85,987370.66,0,1,1
877,14,481855.93,108600,108600,0,1,1
878,10,3527000,1725000,1275600,0,1,1
879,10,6847338.00for2019,0,33522.9,1,1,1
880,4,2577501,432,4000,1,1,1
881,4,300000,294000,24500,1,1,1
882,1,0,0,0,1,1,1
883,61,5067000,1155000,1155000,0,0,1
884,4,0,1309190.91,989758,0,1,0
885,181,0,0,0,0,0,1
886,3,800000,15811.2,15811.2,0,0,1
887,6,84000,84000,7000,1,1,1
888,6,2756298.5,39561.92,27121.65,0,0,1
889,2,3000000,182100,17800,1,0,1
890,1,1961726,248193.66,180803,1,1,1
891,4,/A,/A,/A,0,0,1
892,11,25000,17200,8400,1,1,1
893,1,18000000,284770.23,440659.76,0,1,1
894,7,145000000,2409477.59,1963019.55,0,1,1
895,2,16ill,1987961.64,123279,1,1,1
896,3,14846327,201603,201603,1,1,0
897,7,69838728,1894473.55,1403651.05,1,1,1
898,3,0,0,0,1,1,1
899,37,120000,118888.6,81617.58,0,1,1
900,18,20000000,960600.35,448378.96,1,1,1
901,4,15157656.26,78083,76447,1,1,1
902,9,68372881,3045210.72,2483240.9,1,1,0
903,1,75000000,761054.3379,680875.89,0,0,0
904,1,28307000,1277000,1277000,1,0,0
905,2,1558200,1475708,997058,0,0,1
906,1,otalicable,0,2460000,0,0,1
907,50,16798164,172660,167733,1,1,1
908,73,0,3022593.12,1875468.88,1,1,1
909,5,0,671673.07,633850.9,1,1,1
910,6,264000,8500-00,1600,0,1,0
911,4,17000,0,1450,1,1,1
912,3,0,23180.8,23180.8,1,1,1
913,1,0,0,0,1,1,1
914,30,600000,19918.05,19918.05,1,1,1
915,3,2000000,161565.8,140492.28,0,1,1
916,4,1000000,1091,8900,1,1,1
917,1,100000,8100,8100,1,1,1
918,2,Average15000000.00,302335,302335,1,1,1
919,1,0,1700(incl.taxifees),1500.00/onth,0,1,1
920,2,5000000,60877.72,43982.42,1,0,1
921,5,3500000,02/202011300,202023100,1,1,1
922,2,530640,0,44220,1,1,1
923,1,52608-00,52608,4384,1,1,1
924,1,14040085,147274.14,144912,1,1,1
925,1,15633613,75255,75255,1,1,0
926,2,0,0,0,1,1,1
927,26,1500000,40000,28600,1,1,1
928,4,3546662.48,220596.43,215613.32,1,1,1
929,3,1500000,37005.37,35397.22,1,0,1
930,3,163200,14800,14800,1,1,1
931,1,9600,/A,800,1,1,1
932,5,0,4500,3960,1,1,1
933,2,166800,0,13900,1,1,1
934,6,6293625.01,107700,107700,0,0,1
935,2,7200,0,600,1,1,1
936,4,0,2300,0,0,0,1
937,1,200000,35000,3500,1,1,1
938,1,480000,5000,50400,1,1,1
939,4,24000,2000,2000,1,1,1
940,8,0,8400,0,1,1,1
941,3,427000,1119.8,1100,1,0,1
942,5,12252.6,75000,30000,0,1,1
943,6,105310,5100,5100,1,1,1
944,1,1696096,12750,10650,1,1,1
945,9,121200,0,10100,1,1,1
946,6,29000000,370986,288562,1,1,1
947,1,12000000,109860,96860,1,1,1
948,19,8134000,946868,946868,1,1,1
949,29,407400-00,21950-00,12100,0,0,1
950,4,795344,31200,31200a.,1,1,1
951,3,240000,0,17300,1,0,1
952,6,-4266509.2,141008.88,140377.18,1,1,1
953,1,0,183524.51,166620,1,1,1
954,65,1060832,38240,497120,1,0,1
955,19,500000,0,135216,1,1,1
956,7,n.a,n.a,n.a.,0,1,1
957,2,5084905,63800,13800,1,1,1
958,1,720000,32291.59,34091.59,1,1,1
959,5,11290000,0,69609.69,1,0,1
960,1,6Million,455260,642600,1,1,1
961,19,21000,269,1750,0,1,1
962,5,6723375,2851200,237600,1,1,1
963,8,1800000,106,5880,1,1,1
964,1,0,10435,10435,0,0,1
965,3,950000,28600,28600,1,1,1
966,1,100000,5145,5145,1,1,1
967,20,4655820,1817100,151425,0,1,1
968,33,29619585,225706.72,221575.18,1,0,0
969,1,30Million,189748.38,189748.38,1,1,1
970,3,282iljoen,1738071,1352840,1,1,1
971,2,1500000,45400,31000,1,0,1
972,1,1200000,22100,18950,1,1,1
973,1,425250,35746.5,9550,0,0,1
974,1,0,0,2403.5,1,1,1
975,1,1696239,260640,260640,0,0,1
976,29,0,0,60632,1,1,1
977,8,/A,1730.6,1700,0,0,1
978,83,1950800,3250,3500,1,1,1
979,2,820000,299800,299800,1,1,1
980,12,6357458,88567.97,81600,1,1,1
981,1,0,73106.86,73106.86,1,1,0
982,4,675000,129000,7330,1,0,0
983,4,4550553,932953,606501,1,1,1
984,1,4621435.66,21700,229320,1,1,0
985,5,1221313,210816,210816,1,1,1
986,2,115192365.1,1636537.55,643861.6,1,0,0
987,1,396000,0,2790,1,0,1
988,2,3600000,63563.12,54521,1,1,1
989,38,69208816,923494.78,923494.78,1,1,0
990,4,59730000,1400000,12500,0,0,1
991,1,144716,0,97536,1,1,1
992,2,0,0,0,1,1,1
993,16,100000,3000,3000,1,1,1
994,45,0,261800,0,0,1,1
995,7,2000000,271926,234395.39,0,0,1
996,3,0,0,14950,1,1,1
997,12,0,0,509195,0,0,1
998,10,2100000,0,14373.78,0,0,1
999,40,0,0,4546.09,0,1,0
1000,5,127626925,72558536,63757061,1,1,1
1001,26,143�0726,1333139.76,994514.08,1,1,1
1002,18,otalicable,266924,266924,1,0,1
1003,9,1200000,50000,50000,1,1,1
1004,2,0,0,11550,1,1,1
1005,3,12558420.5,34004.97,22004.97,1,1,0
1006,1,224.822(03.2019-02.2020),78.100(03.2019-02.2020),75.000(03.2019.02.2020),1,1,1
1007,1,36900,36900,36900,1,1,1
1008,170,951583.92,87391,79298.66,0,0,1
1009,2,45000000,0,5555000,0,0,1
1010,5,3541687,413796,34483,0,1,1
1011,14,50000000,334854.3,334854.3,0,1,1
1012,1,7147829,83074.44,83074.44,1,1,1
1013,8,18977639.44,12716.88,15605,0,0,1
1014,11,O,0,0,1,0,1
1015,11,223896,3800eronthallcosts,3000eronthwithouttransort,0,0,1
1016,1,25193703.00AUG18TOJULY19,417723,302367,1,1,1
1017,2,3200000,0,152500,1,1,1
1018,1,0,70742.19,60426.9,1,1,1
1019,2,1845600,4250,3700,1,1,1
1020,10,3347264,26925,15625,0,1,0
1021,1,42000,24000,24000,1,1,1
1022,6,200000,8150,6150,1,0,1
1023,1,8709374.11,62383.04,327500,1,1,1
1024,1,14000000,21500,21500,1,1,1
1025,1,11468464.56,295079.23,291028.17,1,1,1
1026,28,4933184.5,44617.24,35350.83,0,0,1
1027,3,50000,0,4000,1,1,1
1028,2,4295895,6500,6500,1,1,1
1029,1,1704090,2655.2,23900,1,1,1
1030,15,834600,51141.91,51141.91,0,1,1
1031,4,10876412,30000,17478,1,1,1
1032,6,55080,55080,4590,1,1,1
1033,1,5000000,94393,94393,1,1,1
1034,4,2720000,2540000,4600,1,1,1
1035,1,4200000,275000,260000,1,1,1
1036,27,75853479,692436.96,692436.96,0,1,1
1037,4,0,96255.95,69670.44,1,1,1
1038,2,1.2Million,25470,25470,0,0,1
1039,1,0,75371.1,68971.1,1,1,1
1040,8,326184,326184,27182,1,1,1
1041,5,240000,19115,5450.5,0,0,1
1042,1,70000000,1438012,770217.31,1,0,1
1043,1,6000000,180619.57,132088.93,1,1,1
1044,6,1678193.15,552499,552499,1,1,1
1045,6,160000,3770,3470,1,1,0
1046,4,750000,12000.00PERMOTH,144000.00AUUALLY,0,1,1
1047,1,1250000,384000,32000,0,0,1
1048,1,22138005,662862.13,439977.22,0,1,1
1049,28,0,0,0,0,1,1
1050,4,300000,48000,48000,0,0,1
1051,8,0,0,0,1,1,1
1052,9,0,11500,11500,1,1,1
1053,8,304000000,2046454.34,1684005.28,1,1,1
1054,2,7670000,91908.8,118966.55,1,1,1
1055,2,0,0,0,0,0,1
1056,1,0,1500,1500,1,1,1
1057,2,0,0,162920,1,1,1
1058,1,3000000,7300,7300,1,1,1
1059,2,2250000,1686612,0,0,1,1
1060,11,3996024,27200,27200,0,0,0
1061,30,350000,0,1000,1,1,1
1062,1,362300,91200,0,1,1,1
1063,1,1000,1000,8400,1,1,1
1064,1,3000000,2520000,2520000,1,0,1
1065,2,171524,50935,12105,1,1,1
1066,112,14078000,231625.2,203749,1,1,1
1067,8,50000,510000,32955.4,1,0,1
1068,1,18000,3000,1500,1,1,1
1069,1,6000000,1011009,504000,1,1,1
1070,2,1000,10000,10000,1,1,1
1071,1,20400,1700,1700,1,1,1
1072,2,n/a,0,22115.16,0,0,1
1073,1,264000,5000,9300,1,1,1
1074,1,318000,198000,7500,1,1,1
1075,4,2880000,75714.81,69300,1,1,1
1076,5,3500000,174610.89,115461.28,1,1,1
1077,3,804000,39320,43200,0,1,0
1078,1,0,3600,3600,1,1,1
1079,14,Lossof11299for2019,0,3250,0,0,1
1080,12,55000,7800,1000,1,1,1
1081,3,1254000,104500,104500,1,1,1
1082,20,150000,50000,31000,1,0,1
1083,3,20000,0,10800,0,0,1
1084,2,1052881,/A,8200,0,0,1
1085,2,6000,0,500,1,1,1
1086,1,otalicable,659017,659017,1,0,1
1087,1,4243628,66997.09,79075.63,1,1,1
1088,1,890000,71204.35,51316.32,1,1,1
1089,27,48317458,177110.01,177110.01,1,1,1
1090,2,7423000,1213000,97033.4,1,1,1
1091,2,120000,23000,300,1,1,1
1092,9,3329470,1801034.00a,152018,1,1,1
1093,2,17122317,230000,230000,1,1,1
1094,1,0,150000,150000,1,1,1
1095,2,5700000,580988,580988,1,1,0
1096,1,/A,2625,2625,0,0,1
1097,1,1480198.82,10770,10770,1,1,1
1098,3,1500000,2002200,70272,1,1,0
1099,1,60468,5039,5039,1,1,1
1100,2,0,0,18510,0,0,1
1101,3,2300000,65000,53000,1,1,1
1102,3,3827443.43,38420.03,107150,1,1,1
1103,4,1illionbeforeCovid19,206984,136687,1,1,1
1104,1,5000000,1700000,1600000,0,0,1
1105,3,25595610.34,397150.43,293655.07,1,1,1
1106,1,1829777.26,124212,10350,1,1,1
1107,1,1500000,0,250000,1,1,1
1108,1,6745523,237600,237600,1,1,1
1109,1,138000000,873395,695898,1,1,1
1110,2,8000000,191887.14,83641.21,1,1,1
1111,5,480000,3300,3300,1,1,1
1112,1,235050,52600,3300,0,1,0
1113,127,24000000,994215.41,563954.25,1,0,1
1114,61,8500000,90480,4500,1,1,1
1115,5,500000,416604,50000,1,1,1
1116,2,125000000,1468483.12,609545,0,0,1
1117,2,91351000,841604.29,599636.29,1,1,0
1118,1,6000000,1500000,800000,1,1,1
1119,2,13066460.2,119565.85,95532,0,0,0
1120,1,3164185,22725,15700,1,0,0
1121,2,220000,0,9646.25,1,1,1
1122,2,0,821965.75,725905,1,0,0
1123,3,0,2787651.95,1296628.25,1,1,1
1124,1,260800,213155.78,2713261.32,1,1,1
1125,1,4292852.4,O,357737.7,1,1,1
1126,4,7200000,3809.82,88654,1,1,1
1127,2,3000000,22141.5,22141.5,1,1,1
1128,1,6975000,111355.25,101170.5,0,0,1
1129,5,5436628,106575.89,95950,1,1,1
1130,20,100140.67,7543.26,7543.26,0,0,1
1131,6,1654830FOR2019,0,0,0,0,1
1132,3,1956486,36900,431639,1,1,1
1133,13,1200000,32400,32400,0,1,1
1134,1,40000,800,800,0,1,1
1135,4,,186064.4,171800,1,1,1
1136,2,3873000-00,50190-00,44240.00/,1,1,1
1137,5,6000000,156867,188950,1,1,1
1138,2,31033579,107213,80278,1,1,1
1139,6,217200,217200,22600,0,1,1
1140,5,0,688383.84,449441.76,1,1,1
1141,1,8883727,429554,287190,1,1,1
1142,23,3172121,272270.44,120583,1,0,0
1143,33,4726000,733000,678472,1,1,1
1144,8,10433135,70700,68800,1,1,1
1145,4,21679486,682271.4,682271.4,1,1,1
1146,1,13198948,330327,248055.35,1,1,1
1147,4,233839559,623602.45,370783.78,1,1,1
1148,3,2600000,73225,679000,1,0,0
1149,2,70000,58200,58200,0,0,1
1150,1,2702073,182400,182400,1,1,1
1151,4,589000000,7947977,3711671,1,1,1
1152,3,8896Million,440581.91,268073,1,1,1
1153,1,144809000,376391.31,284134.9,1,1,0
1154,3,3600,30k,300,1,1,1
1155,1,2061215.1,683479,1169.18,1,0,1
1156,1,50000000,446206.87,323749.67,1,1,1
1157,1,10000000,1294490.61,891005,0,0,0
1158,24,878485,30893.89,30893.89,1,1,1
1159,23,49994827,2376419.01,1556905.03,1,1,1
1160,1,65000000,695000,606779.8,1,0,1
1161,1,12000000,609381.62,400755.23,1,1,1
1162,4,0,98093.55,72241.65,0,1,1
1163,19,0,52422184.86,27941728.64,1,1,1
1164,4,13176986.4,849004,70990.43,1,1,1
1165,1,100000,38994.37,38712.16,1,1,1
1166,5,0,0,52125,1,1,1
1167,3,1810000,140000,43950,1,1,1
1168,65,0,36600,3050,1,1,1
1169,221,103942,17553.5,17241,1,1,1
1170,33,5028122.23,168512.03,159044.88,1,1,1
1171,6,2892422,612836,66884,1,1,1
1172,15,430000,300000,25000,1,0,0
1173,1,6000000,68936,61600,1,1,1
1174,1,8860923,156596.49,132244.06,1,0,1
1175,2,8767396,253000,64174.94,1,1,1
1176,1,60000,2980,2500,1,1,1
1177,1,120000,3000,3000,1,1,1
1178,22,Lessthan15Million,893,236,1,1,1
1179,13,3500000,57000,52000,1,0,0
1180,6,0,0,13000,1,0,1
1181,6,100000,2900,2900,1,1,1
1182,3,4200000,40000,29000,1,1,1
1183,5,3000000,44000,43100,1,1,0
1184,1,3000000,21000,17468,1,1,1
1185,1,84000,1816.2,1800,1,1,1
1186,16,200-300thousand,397200,33100,0,1,1
1187,5,0,1015514,171812.6,0,0,1
1188,5,6688162,114969.31,111070.03,1,1,0
1189,1,45000000,863277.65,770879.21,0,1,1
1190,1,2239150,65086,43560,1,1,1
1191,21,65061259,885642.02,692785.43,1,1,0
1192,1,30000,213000,17750,0,0,1
1193,1,0,328535,148150.07,0,0,1
1194,2,3500000,266224.34,35800,1,1,1
1195,4,0,198000,0,0,1,1
1196,15,4000000,38093.46,25554.75,1,0,1
1197,3,500000,29636.48,28394.77,1,1,1
1198,18,1350000,16570.00P/M,16570,1,1,1
1199,15,465600,106800,38800,1,0,0
1200,5,85000,1500,18000,1,1,1
1201,11,25200,25200,2100,1,1,1
1202,1,0,0,5000,0,0,1
1203,4,0,239393.67,161822,1,0,1
1204,1,11985278,142631.33,116563,1,1,1
1205,31,0,42580.2,3548.35,0,0,1
1206,8,1186534,106150.38,65064,1,1,0
1207,11,5000000,38475,38175,1,1,1
1208,14,98364716,2191530,1645800,1,0,0
1209,1,5000000,130000,130000,0,1,1
1210,1,0,0,0,0,0,1
1211,1,0,572344.43,467279.89,1,1,1
1212,1,119661536,611973.59,464784.92,1,1,1
1213,1,500000,159772,14400,1,1,0
1214,8,17748649,5193833,243965.04,1,0,0
1215,3,152321.88,73998.01,46858.34,1,1,0
1216,1,203263.9,46574.1,36866.36,1,1,0
1217,1,3000000,74299.32,53020,1,0,1
1218,1,17658683,104923,96416,1,1,1
1219,2,30000000,610000,490000,0,1,1
1220,2,394867129,11551829.06,5912660.48,1,1,0
1221,1,0,0,295548.3,1,1,1
1222,13,100000,5000,500,1,1,1
1223,4,43000000,614650.89,530073.5,1,1,1
1224,1,1000000,25313.22,20500,1,0,1
1225,19,0,0,0,0,0,1
1226,2,382513.4,22057.34,18566.66,1,1,1
1227,6,1200000,190400,139900,1,1,1
1228,4,1440000,50909.17,47143.83,1,1,1
1229,13,17490964,314435.17,293261.11,1,1,1
1230,1,12000000,1576379,0,0,0,1
1231,5,5870614,141455.36,118109,1,1,1
1232,17,1908000,78120,64558,1,1,1
1233,3,200000,0,4150,1,0,1
1234,1,4400000,90000eronth,81700,0,0,1
1235,1,0,2035.5,0,0,1,1
1236,1,1127122,15109,15109.2,1,1,1
1237,1,179696198,2113463.67,1014153.33,1,1,1
1238,48,2069968.8,172497.4,131885.75,1,1,1
1239,10,43080,43080,3590,1,1,1
1240,42,592432,78955.04,78955,1,1,1
1241,1,8000000,49544,49544,1,0,1
1242,14,12224000,2556000,2241600,0,1,1
1243,18,14992499.25,2690935.31,171614,1,1,1
1244,4,6100000,56900,56900,1,1,1
1245,3,0,3600,3600,1,1,1
1246,16,1732444.86,5960,5960,1,1,1
1247,6,2.5illion,57755,42982,1,1,1
1248,1,11000000,66875,66875,1,1,1
1249,1,48080,3590,3590,0,0,1
1250,2,-,26400,26400,0,0,1
1251,199,6192738.66,8720,6976,1,1,1
1252,1,5167068,585176,430589,1,1,1
1253,1,3781788,126449,122852,0,0,1
1254,1,8630000,540436.8,495165.55,1,1,0
1255,33,85000,130773.5,796559.08,1,1,1
1256,19,842400,70200,70200,1,1,1
1257,11,75000,0,3400,1,1,1
1258,6,0,0,0,0,0,1
1259,1,3000000,153000,153000,1,0,1
1260,1,10.5illion,114811.67,103182.41,1,1,1
1261,6,455000,211200,211200,1,1,1
1262,6,55000,25000,9102,1,1,1
1263,2,43080,43080,3590,1,1,1
1264,9,2.3illion,118500,94312,1,0,1
1265,5,/A,2722000,2022000,0,1,1
1266,1,3167091.8,0,29650,1,1,1
1267,5,120000,20062,17718,1,1,1
1268,1,4016181.89,127857.71,126372.6,1,1,1
1269,1,0,3600,3600,0,1,1
1270,1,980000,34000,0,1,1,1
1271,1,843759.97,24258.81,37031,1,1,1
1272,2,50294024,249773.28,234231.28,1,1,1
1273,13,4950752.96,132040.15,136189,1,1,1
1274,3,/A,/A,2500,0,0,1
1275,7,1600000,34892.8,22782.16,1,0,1
1276,7,800000,43000,43000,0,0,1
1277,3,900,18000,500,1,1,1
1278,3,42000,779.4,779.4,1,0,1
1279,1,70.000.00,21600,19200,1,1,1
1280,2,0,0,1500,1,1,1
1281,2,0,714948,68399.72,0,0,1
1282,1,12500000,347500,238900,1,1,1
1283,5,36037,2200,2200,0,0,1
1284,1,4244201.54,0,12704.1,1,0,1
1285,10,10980954.95,176306.75,136536.88,0,1,0
1286,1,250000,10600,10600,1,1,1
1287,11,0,0,4400,0,1,1
1288,4,500000,12500eronth,12500,1,1,1
1289,9,1.8illion,210972,210000,1,1,1
1290,1,1200000,386202,32184,1,1,0
1291,1,336000,337.51,2343.78,1,1,1
1292,38,72000,5000,6000,0,1,1
1293,4,145000,722051,48581,1,1,1
1294,22,3500000,65319,47319,1,1,1
1295,24,0,59207.68,59207.68,1,1,1
1296,3,/A,800,800,0,0,1
1297,2,739965,8020,8020,1,0,1
1298,2,46564.559.76,396256,396256.27,0,0,0
1299,2,290000,7746,5465,1,1,1
1300,1,8994565,3374523,3374523,1,1,1
1301,1,12000,18,1000,1,1,1
1302,22,215000,134000-00,72000,1,1,1
1303,12,5182199,1137066.77,85665.88,0,0,1
1304,3,158400,17400,17400,1,1,1
1305,4,0,105911.97,311409.62,0,0,1
1306,1,120000,0,3600,1,0,1
1307,1,120000,0,2400,1,1,1
1308,33,1200000,9635.96,9635.96,1,0,1
1309,66,0,174200,174200,0,0,1
1310,24,7000000,0,78700,1,1,1
1311,5,0,0,350,1,1,1
1312,1,12000,/A,1000,1,1,1
1313,10,11000000,117611.1,151000,1,1,1
1314,1,2369383.76,54780.00eronth,34780,1,1,1
1315,4,35000,150000,3700,1,1,1
1316,17,500000,46000,2000,0,1,1
1317,12,16699585,27000,27000,1,1,1
1318,17,5000,6500,500,1,1,1
1319,1,0,0,0,0,0,1
1320,16,150000,YES,1500,1,1,1
1321,4,0,300,300,0,1,1
1322,2,3210,10892.6,10700,1,1,1
1323,7,18Million,0,0,0,1,0
1324,5,0,0,300,0,1,1
1325,1,50000,21800,1100,1,1,1
1326,3,12774895.83,45209.95,45209.95,1,1,1
1327,1,100000,42000,42000,1,1,1
1328,1,600000,53500eronth,53500,0,1,1
1329,2,417245.88,34770.49,40123.58,0,0,1
1330,1,1989829,30950,30950,0,1,1
1331,14,6000,0,500,1,0,1
1332,54,3600,300,300,1,1,1
